alarm_id,timestamp,equipment_id,alarm_tag,description,severity,status,acknowledged_by,acknowledged_at,duration_seconds,line_id
ALM-00017,2026-03-11 04:13:01,EQ-102,EQ-102.LABEL_JAM,Label applicator jam detected,MEDIUM,CLEARED,OP-002,2026-03-11 04:23:36,5592,L1
ALM-00018,2026-03-13 02:45:25,EQ-101,EQ-101.LABEL_JAM,Label applicator jam detected,MEDIUM,CLEARED,OP-005,2026-03-13 02:53:46,1043,L1
ALM-00019,2026-03-01 19:41:09,303,303.BOTTLE_JAM,Bottle jam on conveyor,LOW,SHELVED,,,1458,L3
ALM-00020,2026-03-05 18:40:10,302,302.BOTTLE_JAM,Bottle jam on conveyor,LOW,CLEARED,OP-002,2026-03-05 18:44:43,2755,L3
ALM-00021,2026-03-06 17:37:47,EQ-103,EQ-103.CIP_FAULT,CIP cycle fault - chemical concentration out of range,2,CLEARED,OP-006,2026-03-06 18:00:11,743,L1
ALM-00022,2026-03-06 00:15:39,EQUIP_205,EQUIP_205.LEVEL_LOW,Tank level below minimum,4,CLEARED,OP-006,2026-03-06 00:32:34,3544,L2
ALM-00023,2026-03-10 08:59:15,304,304.VIB_ALERT,Vibration level above warning threshold,MEDIUM,SHELVED,,,574,L3
ALM-00024,2026-03-01 16:51:38,301,301.CIP_FAULT,CIP cycle fault - chemical concentration out of range,2,CLEARED,OP-002,2026-03-01 16:54:29,5126,L3
ALM-00025,2026-03-01 10:50:36,EQUIP_201,EQUIP_201.WEIGHT_OOS,Fill weight out of specification,HIGH,CLEARED,OP-004,2026-03-01 11:03:39,2374,L2
ALM-00026,2026-03-03 13:21:19,304,304.CIP_FAULT,CIP cycle fault - chemical concentration out of range,HIGH,CLEARED,OP-003,2026-03-03 13:33:27,1750,L3
ALM-00027,2026-03-05 03:49:46,EQ-103,EQ-103.LABEL_JAM,Label applicator jam detected,3,ACTIVE,,,,L1
ALM-00028,2026-03-02 10:18:05,301,301.VIB_ALERT,Vibration level above warning threshold,3,CLEARED,OP-001,2026-03-02 10:26:37,1332,L3
ALM-00029,2026-03-14 17:07:00,EQ-102,EQ-102.VIB_ALERT,Vibration level above warning threshold,MEDIUM,ACKNOWLEDGED,OP-003,2026-03-14 17:23:42,828,L1
ALM-00030,2026-03-11 15:25:37,305,305.MOTOR_OVERLOAD,Motor current exceeds rated capacity,2,CLEARED,OP-001,2026-03-11 15:37:12,2742,L3
ALM-00031,2026-03-07 11:06:05,303,303.LOW_PRESSURE,Pressure below minimum threshold,3,ACKNOWLEDGED,OP-002,2026-03-07 11:30:01,944,L3
ALM-00032,2026-03-07 17:46:50,EQ-107,EQ-107.FLOW_DEVIATION,Flow rate deviation exceeds 10%,3,CLEARED,OP-001,2026-03-07 17:57:02,540,L1
ALM-00033,2026-03-07 06:02:46,302,302.E_STOP,Emergency stop activated,1,CLEARED,OP-005,2026-03-07 06:29:35,1596,L3
ALM-00034,2026-03-07 22:32:53,EQUIP_205,EQUIP_205.MOTOR_OVERLOAD,Motor current exceeds rated capacity,HIGH,SHELVED,,,2035,L2
ALM-00035,2026-03-07 14:02:06,303,303.FLOW_DEVIATION,Flow rate deviation exceeds 10%,3,ACTIVE,,,,L3
ALM-00036,2026-03-03 15:19:02,EQ-103,EQ-103.WEIGHT_OOS,Fill weight out of specification,2,ACTIVE,,,,L1
ALM-00037,2026-03-12 07:20:43,EQUIP_204,EQUIP_204.VIB_ALARM,Vibration level above alarm threshold,CRITICAL,CLEARED,OP-002,2026-03-12 07:41:04,6987,L2
ALM-00038,2026-03-07 11:36:35,304,304.LABEL_JAM,Label applicator jam detected,MEDIUM,CLEARED,OP-005,2026-03-07 11:55:38,1406,L3
ALM-00039,2026-03-11 09:21:50,302,302.BOTTLE_JAM,Bottle jam on conveyor,LOW,SHELVED,,,3004,L3
ALM-00040,2026-03-08 05:39:11,EQ-103,EQ-103.BOTTLE_JAM,Bottle jam on conveyor,LOW,SHELVED,,,683,L1
ALM-00041,2026-03-09 21:48:32,EQUIP_203,EQUIP_203.CIP_FAULT,CIP cycle fault - chemical concentration out of range,HIGH,CLEARED,OP-005,2026-03-09 22:07:15,5668,L2
ALM-00042,2026-03-12 19:31:38,EQ-102,EQ-102.SEAL_LEAK,Seal leak detected on filling head,2,ACTIVE,,,,L1
ALM-00043,2026-03-02 15:36:30,EQUIP_204,EQUIP_204.COMM_FAIL,Communication failure with field device,HIGH,CLEARED,OP-003,2026-03-02 15:52:26,5039,L2
ALM-00044,2026-03-13 21:58:07,EQUIP_201,EQUIP_201.SEAL_LEAK,Seal leak detected on filling head,2,CLEARED,OP-002,2026-03-13 22:03:23,5596,L2
ALM-00045,2026-03-07 07:14:41,EQUIP_204,EQUIP_204.SEAL_LEAK,Seal leak detected on filling head,2,CLEARED,OP-002,2026-03-07 07:40:48,7190,L2
ALM-00046,2026-03-04 18:12:49,EQ-102,EQ-102.SEAL_LEAK,Seal leak detected on filling head,HIGH,CLEARED,OP-001,2026-03-04 18:28:38,4644,L1
ALM-00047,2026-03-08 05:11:36,304,304.BOTTLE_JAM,Bottle jam on conveyor,LOW,CLEARED,OP-006,2026-03-08 05:18:59,5533,L3
ALM-00048,2026-03-02 13:18:54,EQUIP_203,EQUIP_203.CIP_FAULT,CIP cycle fault - chemical concentration out of range,2,SHELVED,,,3262,L2
ALM-00049,2026-03-12 21:31:56,EQ-102,EQ-102.CIP_FAULT,CIP cycle fault - chemical concentration out of range,HIGH,ACKNOWLEDGED,OP-001,2026-03-12 21:49:26,2149,L1
ALM-00050,2026-03-07 17:01:21,EQUIP_203,EQUIP_203.HIGH_TEMP,Temperature exceeds high limit,2,SHELVED,,,3188,L2
ALM-00051,2026-03-13 21:30:37,EQ-102,EQ-102.CIP_FAULT,CIP cycle fault - chemical concentration out of range,HIGH,ACKNOWLEDGED,OP-002,2026-03-13 21:59:49,3304,L1
ALM-00052,2026-03-11 15:31:11,EQUIP_204,EQUIP_204.FLOW_DEVIATION,Flow rate deviation exceeds 10%,MEDIUM,ACTIVE,,,,L2
ALM-00053,2026-03-02 17:49:17,EQ-104,EQ-104.LOW_PRESSURE,Pressure below minimum threshold,3,CLEARED,OP-005,2026-03-02 18:17:56,6053,L1
ALM-00054,2026-03-09 14:26:03,EQUIP_203,EQUIP_203.FLOW_DEVIATION,Flow rate deviation exceeds 10%,3,SHELVED,,,599,L2
ALM-00055,2026-03-08 23:13:47,EQUIP_204,EQUIP_204.VIB_ALERT,Vibration level above warning threshold,MEDIUM,ACKNOWLEDGED,OP-005,2026-03-08 23:35:15,1746,L2
ALM-00056,2026-03-15 05:07:57,EQUIP_205,EQUIP_205.HIGH_TEMP,Temperature exceeds high limit,2,SHELVED,,,576,L2
ALM-00057,2026-03-03 03:37:04,EQ-107,EQ-107.FLOW_DEVIATION,Flow rate deviation exceeds 10%,MEDIUM,ACTIVE,,,,L1
ALM-00058,2026-03-09 09:57:38,301,301.LABEL_JAM,Label applicator jam detected,MEDIUM,CLEARED,OP-004,2026-03-09 10:15:20,4283,L3
ALM-00059,2026-03-12 08:38:20,302,302.WEIGHT_OOS,Fill weight out of specification,HIGH,SHELVED,,,3447,L3
ALM-00060,2026-03-08 06:15:50,EQ-107,EQ-107.LOW_PRESSURE,Pressure below minimum threshold,MEDIUM,ACTIVE,,,,L1
ALM-00061,2026-03-08 12:22:45,EQ-105,EQ-105.MOTOR_OVERLOAD,Motor current exceeds rated capacity,HIGH,CLEARED,OP-003,2026-03-08 12:46:29,1795,L1
ALM-00062,2026-03-03 08:00:18,EQ-102,EQ-102.CIP_FAULT,CIP cycle fault - chemical concentration out of range,2,CLEARED,OP-002,2026-03-03 08:10:53,3542,L1
ALM-00063,2026-03-05 12:21:41,302,302.MOTOR_OVERLOAD,Motor current exceeds rated capacity,HIGH,CLEARED,OP-002,2026-03-05 12:46:57,4083,L3
ALM-00064,2026-03-07 17:45:11,303,303.SEAL_LEAK,Seal leak detected on filling head,HIGH,CLEARED,OP-003,2026-03-07 18:08:08,5428,L3
ALM-00065,2026-03-13 11:08:54,EQ-101,EQ-101.SEAL_LEAK,Seal leak detected on filling head,HIGH,CLEARED,OP-002,2026-03-13 11:19:37,7165,L1
ALM-00066,2026-03-11 19:21:35,301,301.FLOW_DEVIATION,Flow rate deviation exceeds 10%,MEDIUM,SHELVED,,,3526,L3
ALM-00067,2026-03-03 02:49:25,EQ-107,EQ-107.HIGH_TEMP,Temperature exceeds high limit,HIGH,ACKNOWLEDGED,OP-001,2026-03-03 03:01:56,3464,L1
ALM-00068,2026-03-08 07:22:45,EQ-102,EQ-102.FLOW_DEVIATION,Flow rate deviation exceeds 10%,MEDIUM,ACTIVE,,,,L1
ALM-00069,2026-03-12 00:16:03,305,305.FLOW_DEVIATION,Flow rate deviation exceeds 10%,3,CLEARED,OP-002,2026-03-12 00:23:49,2696,L3
ALM-00070,2026-03-02 00:49:51,304,304.CIP_FAULT,CIP cycle fault - chemical concentration out of range,HIGH,CLEARED,OP-006,2026-03-02 01:01:47,941,L3
ALM-00071,2026-03-08 13:29:52,EQUIP_204,EQUIP_204.VIB_ALERT,Vibration level above warning threshold,MEDIUM,CLEARED,OP-006,2026-03-08 13:52:20,6352,L2
ALM-00072,2026-03-04 16:30:07,EQ-107,EQ-107.SEAL_LEAK,Seal leak detected on filling head,2,SHELVED,,,2113,L1
ALM-00073,2026-03-11 18:48:05,EQUIP_203,EQUIP_203.HIGH_TEMP,Temperature exceeds high limit,2,CLEARED,OP-005,2026-03-11 18:55:09,2206,L2
ALM-00074,2026-03-10 22:35:59,304,304.E_STOP,Emergency stop activated,1,ACKNOWLEDGED,OP-003,2026-03-10 22:57:39,1011,L3
ALM-00075,2026-03-05 11:47:18,EQUIP_202,EQUIP_202.SEAL_LEAK,Seal leak detected on filling head,2,CLEARED,OP-004,2026-03-05 12:12:24,2019,L2
ALM-00076,2026-03-05 07:25:34,EQUIP_202,EQUIP_202.LABEL_JAM,Label applicator jam detected,MEDIUM,ACKNOWLEDGED,OP-001,2026-03-05 07:44:53,846,L2
ALM-00077,2026-03-11 18:17:03,EQ-105,EQ-105.CIP_FAULT,CIP cycle fault - chemical concentration out of range,HIGH,ACKNOWLEDGED,OP-002,2026-03-11 18:28:31,1892,L1
ALM-00078,2026-03-04 16:47:06,EQ-104,EQ-104.WEIGHT_OOS,Fill weight out of specification,HIGH,ACTIVE,,,,L1
ALM-00079,2026-03-04 03:50:14,EQ-103,EQ-103.LEVEL_LOW,Tank level below minimum,4,CLEARED,OP-002,2026-03-04 04:07:04,1698,L1
ALM-00080,2026-03-06 18:36:45,EQUIP_201,EQUIP_201.MOTOR_OVERLOAD,Motor current exceeds rated capacity,2,ACKNOWLEDGED,OP-001,2026-03-06 18:58:04,1397,L2
ALM-00081,2026-03-11 11:40:13,EQ-101,EQ-101.LEVEL_LOW,Tank level below minimum,4,CLEARED,OP-002,2026-03-11 11:58:38,2415,L1
ALM-00082,2026-03-07 06:08:52,EQ-105,EQ-105.LOW_PRESSURE,Pressure below minimum threshold,MEDIUM,ACTIVE,,,,L1
ALM-00083,2026-03-06 14:30:48,EQUIP_204,EQUIP_204.WEIGHT_OOS,Fill weight out of specification,2,CLEARED,OP-001,2026-03-06 14:55:23,1248,L2
ALM-00084,2026-03-12 12:24:14,EQ-101,EQ-101.SEAL_LEAK,Seal leak detected on filling head,HIGH,SHELVED,,,3342,L1
ALM-00085,2026-03-11 04:30:23,EQ-101,EQ-101.E_STOP,Emergency stop activated,1,CLEARED,OP-002,2026-03-11 04:34:06,309,L1
ALM-00086,2026-03-07 05:43:48,EQ-102,EQ-102.HIGH_TEMP,Temperature exceeds high limit,HIGH,CLEARED,OP-003,2026-03-07 05:44:27,7119,L1
ALM-00087,2026-03-11 14:34:01,303,303.HIGH_TEMP,Temperature exceeds high limit,2,SHELVED,,,947,L3
ALM-00088,2026-03-13 19:24:30,303,303.COMM_FAIL,Communication failure with field device,HIGH,CLEARED,OP-006,2026-03-13 19:49:37,3904,L3
ALM-00089,2026-03-01 18:29:04,EQ-103,EQ-103.MOTOR_OVERLOAD,Motor current exceeds rated capacity,2,ACTIVE,,,,L1
ALM-00090,2026-03-14 22:54:38,EQUIP_204,EQUIP_204.LEVEL_LOW,Tank level below minimum,LOW,CLEARED,OP-006,2026-03-14 23:09:21,3550,L2
ALM-00091,2026-03-05 23:16:21,305,305.LABEL_JAM,Label applicator jam detected,MEDIUM,CLEARED,OP-005,2026-03-05 23:19:40,6395,L3
ALM-00092,2026-03-11 19:08:45,EQUIP_204,EQUIP_204.LEVEL_LOW,Tank level below minimum,LOW,ACKNOWLEDGED,OP-002,2026-03-11 19:23:00,3360,L2
ALM-00093,2026-03-04 02:56:26,EQ-102,EQ-102.BOTTLE_JAM,Bottle jam on conveyor,4,CLEARED,OP-001,2026-03-04 03:06:05,3480,L1
ALM-00094,2026-03-06 12:33:55,EQ-107,EQ-107.LOW_PRESSURE,Pressure below minimum threshold,MEDIUM,CLEARED,OP-001,2026-03-06 12:55:57,4982,L1
ALM-00095,2026-03-04 08:55:14,EQUIP_204,EQUIP_204.VIB_ALARM,Vibration level above alarm threshold,1,SHELVED,,,826,L2
ALM-00096,2026-03-15 05:10:04,EQUIP_202,EQUIP_202.LOW_PRESSURE,Pressure below minimum threshold,MEDIUM,CLEARED,OP-004,2026-03-15 05:22:18,3150,L2
ALM-00097,2026-03-08 16:07:37,EQUIP_202,EQUIP_202.VIB_ALARM,Vibration level above alarm threshold,1,CLEARED,OP-003,2026-03-08 16:17:54,5337,L2
ALM-00098,2026-03-11 05:57:39,301,301.HIGH_TEMP,Temperature exceeds high limit,2,CLEARED,OP-004,2026-03-11 06:18:46,3287,L3
ALM-00099,2026-03-04 02:26:50,301,301.LABEL_JAM,Label applicator jam detected,3,CLEARED,OP-005,2026-03-04 02:32:57,4220,L3
ALM-00100,2026-03-03 02:24:26,EQUIP_202,EQUIP_202.VIB_ALARM,Vibration level above alarm threshold,1,CLEARED,OP-003,2026-03-03 02:37:31,1572,L2
ALM-00101,2026-03-10 09:00:38,304,304.VIB_ALARM,Vibration level above alarm threshold,1,SHELVED,,,2096,L3
ALM-00102,2026-03-01 11:02:09,EQUIP_202,EQUIP_202.VIB_ALERT,Vibration level above warning threshold,3,ACTIVE,,,,L2
ALM-00103,2026-03-05 09:12:21,305,305.LABEL_JAM,Label applicator jam detected,3,ACKNOWLEDGED,OP-002,2026-03-05 09:33:44,3010,L3
ALM-00104,2026-03-05 13:16:45,EQ-103,EQ-103.COMM_FAIL,Communication failure with field device,2,CLEARED,OP-006,2026-03-05 13:34:18,480,L1
ALM-00105,2026-03-12 13:30:02,EQUIP_204,EQUIP_204.CIP_FAULT,CIP cycle fault - chemical concentration out of range,HIGH,CLEARED,OP-006,2026-03-12 13:38:39,4208,L2
ALM-00106,2026-03-04 20:57:25,EQ-101,EQ-101.LEVEL_LOW,Tank level below minimum,LOW,CLEARED,OP-004,2026-03-04 21:13:23,4163,L1
ALM-00107,2026-03-04 14:43:21,304,304.FLOW_DEVIATION,Flow rate deviation exceeds 10%,3,ACKNOWLEDGED,OP-006,2026-03-04 15:10:32,574,L3
ALM-00108,2026-03-02 12:14:16,303,303.VIB_ALERT,Vibration level above warning threshold,3,CLEARED,OP-004,2026-03-02 12:17:45,4060,L3
ALM-00109,2026-03-13 13:52:28,302,302.LABEL_JAM,Label applicator jam detected,MEDIUM,ACTIVE,,,,L3
ALM-00110,2026-03-06 12:23:16,EQ-103,EQ-103.VIB_ALARM,Vibration level above alarm threshold,CRITICAL,ACTIVE,,,,L1
ALM-00111,2026-03-12 09:19:30,303,303.LABEL_JAM,Label applicator jam detected,3,SHELVED,,,2096,L3
ALM-00112,2026-03-12 15:31:40,EQUIP_204,EQUIP_204.MOTOR_OVERLOAD,Motor current exceeds rated capacity,HIGH,ACKNOWLEDGED,OP-001,2026-03-12 15:45:44,2049,L2
ALM-00113,2026-03-05 15:54:55,EQ-103,EQ-103.E_STOP,Emergency stop activated,CRITICAL,SHELVED,,,647,L1
ALM-00114,2026-03-13 06:32:14,EQUIP_204,EQUIP_204.BOTTLE_JAM,Bottle jam on conveyor,LOW,CLEARED,OP-002,2026-03-13 06:40:24,7016,L2
ALM-00115,2026-03-13 19:48:41,304,304.HIGH_TEMP,Temperature exceeds high limit,2,ACTIVE,,,,L3
ALM-00116,2026-03-08 08:08:59,EQ-103,EQ-103.MOTOR_OVERLOAD,Motor current exceeds rated capacity,2,CLEARED,OP-005,2026-03-08 08:15:36,800,L1
ALM-00117,2026-03-10 08:33:52,EQ-104,EQ-104.E_STOP,Emergency stop activated,1,CLEARED,OP-003,2026-03-10 08:51:45,1915,L1
ALM-00118,2026-03-10 05:10:18,305,305.E_STOP,Emergency stop activated,CRITICAL,ACKNOWLEDGED,OP-004,2026-03-10 05:29:39,3544,L3
ALM-00119,2026-03-14 03:08:21,302,302.VIB_ALARM,Vibration level above alarm threshold,1,CLEARED,OP-006,2026-03-14 03:10:12,1850,L3
ALM-00120,2026-03-03 12:33:28,305,305.VIB_ALERT,Vibration level above warning threshold,3,SHELVED,,,1734,L3
ALM-00121,2026-03-14 00:21:36,302,302.VIB_ALARM,Vibration level above alarm threshold,CRITICAL,ACKNOWLEDGED,OP-001,2026-03-14 00:32:25,3017,L3
ALM-00122,2026-03-01 09:02:03,302,302.CIP_FAULT,CIP cycle fault - chemical concentration out of range,HIGH,ACTIVE,,,,L3
ALM-00123,2026-03-02 03:24:19,EQ-104,EQ-104.CIP_FAULT,CIP cycle fault - chemical concentration out of range,2,SHELVED,,,1459,L1
ALM-00124,2026-03-10 06:31:14,EQUIP_204,EQUIP_204.VIB_ALERT,Vibration level above warning threshold,MEDIUM,CLEARED,OP-004,2026-03-10 06:44:06,5443,L2
ALM-00125,2026-03-07 17:59:16,EQ-102,EQ-102.VIB_ALARM,Vibration level above alarm threshold,1,CLEARED,OP-006,2026-03-07 18:07:32,2436,L1
ALM-00126,2026-03-08 15:43:49,EQ-103,EQ-103.COMM_FAIL,Communication failure with field device,2,ACKNOWLEDGED,OP-005,2026-03-08 15:46:15,877,L1
ALM-00127,2026-03-06 18:07:33,301,301.LEVEL_LOW,Tank level below minimum,LOW,SHELVED,,,2441,L3
ALM-00128,2026-03-12 22:54:44,305,305.WEIGHT_OOS,Fill weight out of specification,HIGH,CLEARED,OP-004,2026-03-12 22:59:53,2584,L3
ALM-00129,2026-03-05 05:47:44,EQUIP_202,EQUIP_202.BOTTLE_JAM,Bottle jam on conveyor,LOW,CLEARED,OP-005,2026-03-05 05:55:22,1004,L2
ALM-00130,2026-03-11 23:20:50,EQ-107,EQ-107.LEVEL_LOW,Tank level below minimum,LOW,ACKNOWLEDGED,OP-006,2026-03-11 23:33:29,3163,L1
ALM-00131,2026-03-05 00:33:48,EQ-103,EQ-103.LOW_PRESSURE,Pressure below minimum threshold,3,ACKNOWLEDGED,OP-002,2026-03-05 00:44:14,2311,L1
ALM-00132,2026-03-04 15:00:15,302,302.MOTOR_OVERLOAD,Motor current exceeds rated capacity,2,CLEARED,OP-004,2026-03-04 15:18:29,4635,L3
ALM-00133,2026-03-07 10:43:20,EQUIP_202,EQUIP_202.VIB_ALERT,Vibration level above warning threshold,MEDIUM,CLEARED,OP-002,2026-03-07 10:51:43,1454,L2
ALM-00134,2026-03-07 02:01:12,EQ-105,EQ-105.E_STOP,Emergency stop activated,1,CLEARED,OP-001,2026-03-07 02:04:34,6602,L1
ALM-00135,2026-03-14 16:54:04,EQ-101,EQ-101.MOTOR_OVERLOAD,Motor current exceeds rated capacity,2,CLEARED,OP-005,2026-03-14 17:03:07,1969,L1
ALM-00136,2026-03-04 13:15:05,303,303.HIGH_TEMP,Temperature exceeds high limit,2,CLEARED,OP-005,2026-03-04 13:44:48,5814,L3
ALM-00137,2026-03-07 10:38:53,EQUIP_201,EQUIP_201.BOTTLE_JAM,Bottle jam on conveyor,LOW,CLEARED,OP-005,2026-03-07 10:41:46,6812,L2
ALM-00138,2026-03-11 05:28:19,302,302.MOTOR_OVERLOAD,Motor current exceeds rated capacity,2,CLEARED,OP-004,2026-03-11 05:30:35,4714,L3
ALM-00139,2026-03-01 11:12:25,EQUIP_201,EQUIP_201.FLOW_DEVIATION,Flow rate deviation exceeds 10%,3,CLEARED,OP-005,2026-03-01 11:24:33,1975,L2
ALM-00140,2026-03-10 11:32:53,302,302.SEAL_LEAK,Seal leak detected on filling head,HIGH,SHELVED,,,3229,L3
ALM-00141,2026-03-14 03:37:34,EQ-101,EQ-101.HIGH_TEMP,Temperature exceeds high limit,2,ACKNOWLEDGED,OP-004,2026-03-14 03:46:35,2222,L1
ALM-00142,2026-03-02 00:08:30,EQ-101,EQ-101.SEAL_LEAK,Seal leak detected on filling head,2,CLEARED,OP-004,2026-03-02 00:31:29,3384,L1
ALM-00143,2026-03-07 09:37:34,302,302.CIP_FAULT,CIP cycle fault - chemical concentration out of range,2,CLEARED,OP-001,2026-03-07 09:48:40,3754,L3
ALM-00144,2026-03-13 02:32:43,EQUIP_205,EQUIP_205.FLOW_DEVIATION,Flow rate deviation exceeds 10%,3,SHELVED,,,2661,L2
ALM-00145,2026-03-10 02:50:50,EQUIP_204,EQUIP_204.WEIGHT_OOS,Fill weight out of specification,2,SHELVED,,,400,L2
ALM-00146,2026-03-04 17:08:34,EQUIP_202,EQUIP_202.BOTTLE_JAM,Bottle jam on conveyor,4,ACKNOWLEDGED,OP-001,2026-03-04 17:32:25,310,L2
ALM-00147,2026-03-01 15:22:40,EQUIP_202,EQUIP_202.BOTTLE_JAM,Bottle jam on conveyor,4,CLEARED,OP-002,2026-03-01 15:39:40,1342,L2
ALM-00148,2026-03-10 14:01:24,EQUIP_203,EQUIP_203.LABEL_JAM,Label applicator jam detected,3,CLEARED,OP-002,2026-03-10 14:02:27,1364,L2
ALM-00149,2026-03-11 05:08:09,EQUIP_202,EQUIP_202.MOTOR_OVERLOAD,Motor current exceeds rated capacity,HIGH,CLEARED,OP-005,2026-03-11 05:11:43,2019,L2
ALM-00150,2026-03-08 19:26:01,EQUIP_204,EQUIP_204.HIGH_TEMP,Temperature exceeds high limit,2,ACKNOWLEDGED,OP-002,2026-03-08 19:50:05,1373,L2
